Designator,Mid X,Mid Y,Rotation,Layer
R14,118.975,-185.2,0.0,top
R15,87.075,-185.2,0.0,top
R16,55.125,-185.2,0.0,top
R17,164.025,-185.225,0.0,top
R18,32.55,-169.95,90.0,top
R19,69.525,-175.525,0.0,top
R2,37.97,-186.63,180.0,bottom
R20,101.625,-175.525,0.0,top
R21,134.025,-175.525,0.0,top
R22,201.9,-156.625,0.0,top
R23,187.55,-198.85,180.0,top
R24,243.95,-222.5,180.0,top
R25,273.475,-222.5,180.0,top
R26,302.975,-222.475,180.0,top
R27,319.05,-201.15,0.0,top
R28,239.775,-195.775,0.0,top
R29,325.75,-171.25,90.0,top
R3,198.975,-127.375,180.0,bottom
R30,263.05,-178.625,0.0,top
R31,256.675,-178.65,0.0,top
R32,295.975,-135.65,180.0,top
R33,250.7,-135.65,0.0,top
R34,287.475,-122.975,180.0,top
R35,282.2,-135.65,0.0,top
R36,219.225,-135.625,0.0,top
R37,162.975,-136.125,0.0,top
R38,129.5,-136.125,0.0,top
R39,95.975,-136.125,0.0,top
R4,198.95,-130.375,180.0,bottom
R40,62.5,-136.125,0.0,top
R41,99.225,-52.0,180.0,bottom
R42,99.2,-56.675,180.0,bottom
R43,99.25,-61.35,180.0,bottom
R44,99.175,-49.675,180.0,bottom
R45,99.225,-54.35,180.0,bottom
R46,99.225,-59.025,180.0,bottom
R47,107.42,-171.51,0.0,bottom
R48,107.44,-175.68,180.0,bottom
R5,37.5,-146.55,0.0,bottom
R57,266.925,-105.7,180.0,top
R58,273.675,-72.5,0.0,top
R59,170.125,-98.7,180.0,top
R6,92.1,-45.775,270.0,bottom
R60,195.1,-81.4,0.0,top
R61,294.5,-63.55,0.0,top
R62,294.475,-24.7,0.0,top
R63,275.75,-52.4,0.0,top
R64,224.85,-63.05,0.0,top
R65,224.975,-24.65,0.0,top
R66,174.425,-63.55,0.0,top
R67,174.45,-24.775,0.0,top
R68,57.0,-69.45,90.0,top
R69,76.075,-70.075,90.0,top
R7,74.1,-53.335,0.0,bottom
R70,136.95,-69.9,90.0,top
R71,139.225,-51.625,0.0,top
R72,104.425,-43.175,180.0,top
R73,107.625,-61.35,180.0,top
R74,46.55,-62.05,0.0,top
R75,103.775,-136.15,0.0,top
R76,256.775,-135.625,0.0,top
R77,148.35,-83.2,180.0,top
R78,175.1,-200.95,180.0,top
R79,227.7,-188.925,0.0,top
R8,74.1,-50.675,180.0,bottom
R80,259.525,-149.975,0.0,top
R81,224.175,-108.15,0.0,top
R82,119.825,-98.325,0.0,top
R83,285.425,-66.1,0.0,top
R84,145.45,-149.975,0.0,top
R85,297.45,-189.725,180.0,top
R9,52.125,-214.5,180.0,top
RV1,254.41,-220.01,0.0,bottom
RV2,166.86,-219.96,0.0,bottom
RV3,288.31,-219.91,0.0,bottom
RV4,138.01,-220.06,0.0,bottom
S1,84.0,-200.0,90.0,top
S10,273.5,-210.0,90.0,top
S11,303.0,-210.0,90.0,top
S2,116.0,-200.0,90.0,top
S3,148.0,-200.0,90.0,top
S4,148.0,-170.0,90.0,top
S5,116.0,-170.0,90.0,top
S6,84.0,-170.0,90.0,top
S7,52.0,-170.0,90.0,top
S8,52.0,-200.0,90.0,top
S9,244.0,-210.0,90.0,top
SW1,202.0,-175.6,0.0,top
SW10,206.5,-129.6,0.0,top
SW11,238.0,-129.6,0.0,top
SW12,269.5,-129.6,0.0,top
SW13,308.5,-129.6,0.0,top
SW14,177.5,-87.6,0.0,top
SW15,248.0,-87.6,0.0,top
SW16,267.0,-87.6,0.0,top
SW17,174.5,-45.6,0.0,top
SW18,193.5,-45.6,0.0,top
SW19,225.0,-45.6,0.0,top
SW2,202.0,-206.6,0.0,top
SW20,244.0,-45.6,0.0,top
SW21,263.0,-45.6,0.0,top
SW22,294.5,-45.6,0.0,top
SW23,313.5,-45.6,0.0,top
SW24,126.5,-44.85,0.0,top
SW25,46.5,-87.0,315.0,top
SW26,86.5,-87.0,315.0,top
SW27,126.5,-87.0,315.0,top
SW3,244.0,-172.6,0.0,top
SW4,275.5,-172.6,0.0,top
SW5,307.0,-172.6,0.0,top
SW6,49.75,-129.6,0.0,top
SW7,83.25,-129.6,0.0,top
SW8,116.75,-129.6,0.0,top
SW9,150.25,-129.6,0.0,top
U1,180.025,-123.85,45.0,bottom
U2,29.7025,-160.6,270.0,bottom
U3,46.85,-184.515,90.0,bottom
U4,105.725,-185.075,180.0,bottom
U5,206.7,-149.4,270.0,bottom
U6,218.65,-88.2,270.0,bottom
U7,259.75,-151.125,270.0,bottom
U8,150.75,-80.195,270.0,bottom
XT12MHZ1,41.97,-173.89,180.0,bottom
XT16MHZ1,160.7,-136.575,180.0,bottom
